DriveAmplitude,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad
0.785,-103.68678050048624,-105.46543050318587,-108.42273408401951,0.6183588628339983
0.79,-102.73801095716883,-103.90826406633121,-109.005051476564,0.5075220103972925
0.795,-101.96524695272734,-103.65169269502273,-106.88933682496128,0.603196090147516
0.8,-103.0333224102452,-104.3930217281542,-108.73886344137131,0.5450597505226328
0.805,-102.37574600930691,-103.80294203837633,-107.90282628553584,0.557695000908001
0.81,-102.36129676720793,-104.37041532234255,-106.67498519281266,0.6542660997463688
0.8150000000000001,-101.97570217281493,-103.62251159777387,-106.98452863320196,0.59652396600824
0.8200000000000001,-101.52249570095367,-103.95081732903073,-105.20501021811639,0.7134505989238672
0.8250000000000001,-102.38007690118945,-104.51182530460156,-106.49292297602506,0.6723331120853672
0.8300000000000001,-102.72912508647677,-104.97946294617337,-106.66118336223192,0.689189782469552
0.835,-102.52313210393446,-104.9573778063238,-106.19775168153332,0.7142379534003479
0.84,-101.36281945967667,-103.3223404160995,-105.76214752330435,0.6467628562044652
0.845,-101.43703450575131,-104.15526919400526,-104.76046653372589,0.750588358083928
0.85,-101.35934052878673,-103.7552603202623,-105.08548549791514,0.7091218342555922
0.855,-101.63293920220065,-104.0980609981178,-105.26681343612486,0.7183214728572674
0.86,-101.06408433255385,-103.65107022270374,-104.54346008080975,0.7341182092418004
0.865,-101.18587231464568,-103.45718205037687,-105.08722447052196,0.6921113515792116
0.87,-101.52583491001386,-104.61464610573451,-104.45901777840129,0.7943563707621267
0.875,-101.06071960576284,-103.74755180823826,-104.42053246379488,0.7466969846773944
0.88,-100.83400608596185,-103.68866875455659,-104.00572885132065,0.7671507689618902
0.885,-101.0951544457896,-103.5845581315393,-104.69745214874727,0.7215094000552784
0.89,-100.89129742987252,-104.03649582364747,-103.7707631748587,0.8006925786306676
0.895,-100.92336601256682,-103.76127126066771,-104.11318783527862,0.7651457570205211
0.9,-101.33477330758623,-103.87424509255194,-104.87322214991586,0.7280187813025599
0.905,-100.23706580335953,-103.10379976188464,-103.39584038967118,0.7685901200203177
0.91,-100.44981148526772,-103.00317243055828,-103.97084192946977,0.7298095007903528
0.915,-100.35837012583515,-103.67983983997375,-103.07831259532584,0.8199972097534961
0.92,-100.25168780742658,-103.57803038189911,-102.96739213305423,0.8205204070634331
0.925,-99.80111040302083,-103.0530578287968,-102.58250274080878,0.8124722516497656
0.93,-100.64207394595101,-103.47154822393178,-103.84105689347429,0.7641339474246451
0.935,-99.97041645096928,-103.45251356629844,-102.55518771028386,0.8369607551431301
0.9400000000000001,-100.47662177036773,-103.21016065511839,-103.78252756153309,0.752473894996215
0.9450000000000001,-100.36101872920551,-103.76932470102676,-103.00674517026584,0.8292394845317668
0.9500000000000001,-100.24841806195977,-103.67335174484455,-102.88024343536215,0.8309898380936476
0.9550000000000001,-100.42916621887478,-103.3381123811024,-103.54324195742656,0.7735910532719332
0.96,-99.91647663329046,-103.0135443473566,-102.84170846522626,0.7952891867422085
0.965,-99.62244735085726,-102.41298792616377,-102.8642222956722,0.7594347009560551
0.97,-99.86058794072065,-103.0975390366714,-102.65548091873939,0.8108340959691374
0.975,-99.56063765682687,-102.97507113212731,-102.20123001891073,0.8298852260618076
0.98,-99.85635628024987,-103.02182826335459,-102.71683772759147,0.8029512233004714
0.985,-100.05039441665949,-103.0616260339667,-103.0597629124515,0.7855054132923092
0.99,-100.13460440592456,-103.32692554839696,-102.97020614443431,0.8059268129840141
0.995,-100.09030232818318,-103.32803248260097,-102.8844917640703,0.8109193305389627
1.0,-99.78139998870671,-102.94625165227467,-102.64245976687002,0.8028822657872253
