DriveAmplitude,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad,Fit_y(A)_dBm,C_fit,A_contrast_fit,A_pi_fit,Adec_fit
0.47000000000000003,-93.32740521905457,-97.27663197001675,-95.56612536884161,0.8832325109287629,-94.12910684714716,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.47500000000000003,-93.32413410837731,-97.02180816303434,-95.74113322789175,0.8588540698893311,-94.02971330645448,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.48,-93.57023530519746,-97.27784361391186,-95.97985194988385,0.8598400184100183,-93.9458884139753,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.485,-93.10960736563693,-97.03953097016955,-95.36139512578387,0.8814039999067664,-93.88385656474634,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.49,-93.38574787382362,-96.84227609115098,-95.9914266981599,0.834298847959029,-93.84797826559875,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.495,-93.31283292452498,-97.09605436443195,-95.66720902729264,0.8672806390535092,-93.84058369308163,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.5,-93.25692816264187,-97.1874344872889,-95.50832001185698,0.8814592985459738,-93.86191869315243,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.505,-93.14589006339739,-97.04941688240439,-95.41570630216539,0.8788924588552242,-93.91018355094334,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.51,-93.19032324806408,-97.17501497638487,-95.4052865617567,0.8865742997042629,-93.98165800457778,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.515,-93.06865501809972,-96.86462944567025,-95.41387667397031,0.8685246024532348,-94.07091857532222,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.52,-93.27863215964493,-96.9333448148675,-95.72789936266439,0.8545674978031204,-94.1711621565112,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.525,-93.07685612913689,-97.13826779712778,-95.24151718018452,0.8937263359986144,-94.27464922534696,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.53,-93.28556981439894,-97.17763392669609,-95.56327254119878,0.8777978196017351,-94.37326820941072,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.535,-93.26733599591779,-96.99030131824364,-95.66559803315752,0.8613603032634463,-94.45919897225701,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.54,-93.00904875147017,-96.92053460646265,-95.27340968914324,0.8796510805299326,-94.52562184470823,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.545,-93.20692241262228,-96.75301775010446,-95.74032852276828,0.8435616183475962,-94.56738817923218,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.55,-93.0473317232696,-96.84613561167838,-95.39052856250548,0.8688001714664754,-94.58155172976369,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.555,-93.25325508766474,-97.05204342197817,-95.5964630515258,0.8687986570310329,-94.56766841230603,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.56,-92.96166094105408,-96.73960744129073,-95.31983707118965,0.8667651875817735,-94.52780811644217,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.5650000000000001,-93.32649105052184,-97.09875445867507,-95.68877013773115,0.8662092493989179,-94.4662771755941,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.5700000000000001,-93.2813553921598,-97.10708529365888,-95.60539610982877,0.87141489034304,-94.38910576377748,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.5750000000000001,-93.14616833291561,-96.7350819687175,-95.64595895150873,0.8479294785179828,-94.30339242156826,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.58,-93.2624301460182,-97.2468982700574,-95.47754223331785,0.8865533011837474,-94.21660827055554,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.585,-93.27156672401557,-97.16624684612917,-95.54746650661238,0.8780478521322408,-94.13594838577129,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.59,-93.17982363431162,-96.74693018743822,-95.69666047376117,0.8457097586386693,-94.06778798172171,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
0.595,-93.30839786051966,-97.023899621711,-95.71216955334064,0.8606220235661303,-94.01726917806626,4.172606359938888e-06,1e-06,0.05500000000000005,0.5
