Delay_us,I,Q,Magnitude_linear,Phase_rad,Fit_on_data,A_fit,T2_echo_fit_us,C_fit,p_fit
17.5065,-1.7713954222344511e-06,-2.515485836942518e-06,3.0766070171166757e-06,-2.184332945852418,3.0245545288813865e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
17.75645,-1.7909904926209665e-06,-2.351299948512963e-06,2.955716223275799e-06,-2.2217449125493225,3.024554454193783e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
18.0064,-1.8831204042298078e-06,-2.4318266614199253e-06,3.0756988422177183e-06,-2.229709283586473,3.0245543798380205e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
18.25635,-1.8695660506168686e-06,-2.4020716019625323e-06,3.0438832432558913e-06,-2.232173540846379,3.024554305812625e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
18.5063,-1.8113580489149851e-06,-2.3280369316030792e-06,2.949707432318836e-06,-2.2320168251992616,3.0245542321161284e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
18.75625,-1.7627749494997297e-06,-2.390997858517438e-06,2.970563293723726e-06,-2.206090564781235,3.0245541587470693e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
19.0062,-1.822237478092992e-06,-2.487730078852849e-06,3.083723459033885e-06,-2.2029965498075676,3.024554085703993e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
19.25615,-1.8042087600984195e-06,-2.317885168545705e-06,2.9373050411184785e-06,-2.232218190731865,3.0245540129854507e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
19.5061,-1.8481513113242665e-06,-2.3191127904221616e-06,2.965459054556186e-06,-2.2436574372847664,3.0245539405900012e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
19.756050000000002,-1.7922975318935287e-06,-2.3855487364826953e-06,2.983818563010462e-06,-2.2151382319931296,3.0245538685162083e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
20.006,-1.7294537998119104e-06,-2.3843090897556894e-06,2.9454949127736513e-06,-2.198332576390541,3.0245537967626434e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
20.255950000000002,-1.908561873066393e-06,-2.384335318565448e-06,3.0541223509678348e-06,-2.245816882035143,3.024553725327884e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
20.5059,-1.7945361462033194e-06,-2.3389500643554198e-06,2.948058239516052e-06,-2.225240069526793,3.0245536542105123e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
20.75585,-1.9625879883878218e-06,-2.496956766474275e-06,3.175932100314146e-06,-2.2369372373198435,3.0245535834091195e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
21.0058,-1.8132275233533915e-06,-2.340924568423896e-06,2.961033921875411e-06,-2.2298423879965337,3.024553512922301e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
21.25575,-1.9116753532604107e-06,-2.248751156987154e-06,2.951505450158339e-06,-2.2753515396384714,3.0245534427486595e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
21.5057,-1.7677553283056463e-06,-2.4370586587227005e-06,3.0106832790594713e-06,-2.198343259809632,3.024553372886803e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
21.75565,-1.906415398707444e-06,-2.3418880962847174e-06,3.019744944187989e-06,-2.254046178726732,3.0245533033353466e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
22.0056,-1.7259241289288046e-06,-2.3715192674112283e-06,2.933073087142791e-06,-2.199918758601347,3.0245532340929112e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
22.25555,-1.783334586596151e-06,-2.4097283079133123e-06,2.997844686722249e-06,-2.20790302623449,3.0245531651581237e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
22.5055,-1.8507757045333954e-06,-2.2921014551172505e-06,2.946031192815464e-06,-2.2500683273280937,3.0245530965296174e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
22.75545,-2.0155623548046566e-06,-2.4685477045498527e-06,3.186882391263292e-06,-2.2555159172757464,3.024553028206031e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
23.0054,-1.8018540226619723e-06,-2.482031486601119e-06,3.067109098069792e-06,-2.1987330719863842,3.0245529601860104e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
23.25535,-1.8806265924440601e-06,-2.3998489172128905e-06,3.048939357490673e-06,-2.2354840675845438,3.0245528924682064e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
23.5053,-1.899834875505301e-06,-2.510100147576424e-06,3.1480113254322054e-06,-2.218683651108253,3.024552825051276e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
23.75525,-1.7786280270720924e-06,-2.4194755842693495e-06,3.0028952298676476e-06,-2.2047122294955366,3.024552757933883e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
24.0052,-1.86101596406544e-06,-2.575907188355395e-06,3.1778417615619908e-06,-2.196444263574513,3.024552691114696e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
24.25515,-1.9243496325462316e-06,-2.352586093167667e-06,3.0393721118097277e-06,-2.2564001621714915,3.0245526245923906e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
24.5051,-1.8074361088610265e-06,-2.6033485418728568e-06,3.169266305958876e-06,-2.1776687072981202,3.024552558365647e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
24.75505,-1.9537879744609062e-06,-2.4486073221068933e-06,3.1325652853569613e-06,-2.2442664961173096,3.024552492433153e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
25.005,-1.896814956631587e-06,-2.438872534655818e-06,3.0896611820715525e-06,-2.231817548824373,3.0245524267936002e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
25.25495,-1.8134271929057624e-06,-2.460641109353931e-06,3.056676766197666e-06,-2.2059081899987363,3.0245523614456877e-06,2.2962373878917487e-11,56.131273544171606,3.024537718914154e-06,1.0
