# freq_Hz, phase_rad_detrended, phase_rad
7.137793333333333015e+09,4.256622450574809591e-02,-7.119691862404671667e+00
7.137856666666666985e+09,7.223916390677054267e-02,-7.113883519579212944e+00
7.137920000000000000e+09,6.938325835060155100e-02,-7.140604021710608151e+00
7.137983333333333015e+09,6.502543530830084961e-02,-7.168826441327804666e+00
7.138046666666666985e+09,5.209740000451823505e-02,-7.205619073207147451e+00
7.138110000000000000e+09,1.675278952316805459e-02,-7.264828280263727400e+00
7.138173333333333015e+09,6.503780411596782329e-02,-7.240407862245819892e+00
7.138236666666666985e+09,2.301173175578341557e-02,-7.306298531181568023e+00
7.138300000000000000e+09,2.934575884391854572e-02,-7.323829100668659109e+00
7.138363333333333015e+09,5.682253106051415870e-02,-7.320216925027293264e+00
7.138426666666666985e+09,6.015486063163333341e-02,-7.340749192031403858e+00
7.138490000000000000e+09,2.169658577511501818e-02,-7.403072063463148389e+00
7.138553333333333015e+09,6.226029049713233121e-02,-7.386372955316360844e+00
7.138616666666666985e+09,3.908104498810072158e-02,-7.433416797400618670e+00
7.138680000000000000e+09,4.331022615499158235e-02,-7.453052212808957577e+00
7.138743333333333015e+09,4.675432057440431777e-02,-7.473472714964771058e+00
7.138806666666666985e+09,4.073578667681765353e-02,-7.503355845437921445e+00
7.138870000000000000e+09,3.422618693882295560e-02,-7.533730041750808404e+00
7.138933333333333015e+09,1.972314131390362490e-02,-7.572097683950957503e+00
7.138996666666666985e+09,2.529979422531702937e-02,-7.590385627615107822e+00
7.139060000000000000e+09,1.182218616102392872e-02,-7.627727832254293183e+00
7.139123333333333015e+09,3.561333993783577512e-02,-7.627801275052707553e+00
7.139186666666666985e+09,3.751805770894822700e-02,-7.649761153857158824e+00
7.139250000000000000e+09,7.139152809566073898e-02,-7.639752280045342125e+00
7.139313333333333015e+09,5.582955177765747123e-02,-7.679178852938571609e+00
7.139376666666666985e+09,1.945027237674068488e-02,-7.739422728915052119e+00
7.139440000000000000e+09,5.055990904259921592e-02,-7.732177688824085848e+00
7.139503333333333015e+09,5.548863319318630971e-02,-7.751113561248728523e+00
7.139566666666666985e+09,2.527405759224699011e-02,-7.805192733425228013e+00
7.139630000000000000e+09,5.953064688729803322e-02,-7.794800740705406739e+00
7.139693333333333015e+09,4.634531086019677559e-02,-7.831850673307400257e+00
7.139756666666666985e+09,3.467024571765797702e-02,-7.867390335025502779e+00
7.139820000000000000e+09,2.438933509600360594e-02,-7.901535842222386918e+00
7.139883333333333015e+09,5.459002876438479035e-02,-7.895199745128897995e+00
7.139946666666666985e+09,3.862382998782276644e-02,-7.935030540481023742e+00
7.140010000000000000e+09,4.534440150533924907e-02,-7.952174565538733475e+00
7.140073333333333015e+09,6.231993707880878475e-02,-7.959063626540159753e+00
7.140136666666666985e+09,1.812806167347602582e-02,-8.027120098521052682e+00
7.140200000000000000e+09,6.469852670250197946e-02,-8.004414230067256497e+00
7.140263333333333015e+09,5.816701756995890094e-02,-8.034810335775025791e+00
7.140326666666666985e+09,6.048040103306107085e-02,-8.056361548887153390e+00
7.140390000000000000e+09,7.356583902573454736e-02,-8.067140707469706129e+00
7.140453333333333015e+09,6.284237891326860392e-02,-8.101728764157401841e+00
7.140516666666666985e+09,4.085175534986085211e-02,-8.147583984296039361e+00
7.140580000000000000e+09,5.056308462455838537e-02,-8.161737251596568044e+00
7.140643333333333015e+09,6.369959308398520648e-02,-8.172465339712370991e+00
7.140706666666666985e+09,7.026078030396654128e-02,-8.189768749067949827e+00
7.140770000000000000e+09,5.337437243405140919e-02,-8.230519753512760772e+00
7.140833333333333015e+09,5.143428475495603891e-02,-8.256324437767082358e+00
7.140896666666666985e+09,2.410461335329117105e-02,-8.307518705744310950e+00
7.140960000000000000e+09,4.326174456553211201e-02,-8.312226171106962269e+00
7.141023333333333015e+09,5.380329376293957466e-02,-8.325549218484784575e+00
7.141086666666666985e+09,4.632699549375018933e-02,-8.356890113329537684e+00
7.141150000000000000e+09,5.001778196703021706e-02,-8.377063923431149917e+00
7.141213333333333015e+09,3.917285784825352835e-02,-8.411773444125156374e+00
7.141276666666666985e+09,6.292033356342940920e-02,-8.411890564985540664e+00
