Frequency_Hz,Amplitude_dBm,Real_dBm,Imag_dBm,Phase_rad
5148330000.0,-120.74297893255024,-123.30399360196985,-124.25446429213666,-2.4107991146951657
5148320000.0,-119.74361698665773,-122.03831301898445,-123.61115447864455,-2.4462437394261727
5148310000.0,-121.08089344464675,-123.83253618908597,-124.36623680471955,-2.3868974538097647
5148300000.0,-120.47590433429053,-122.78238383412065,-124.32657146344675,-2.4446204937233236
5148290000.0,-121.34645962466068,-125.35782584996585,-123.54376633237922,-2.25251981016343
5148280000.0,-120.83370137757653,-122.92704464638587,-125.00785053014323,-2.4748457751180184
5148270000.0,-120.26161010203361,-123.40222013937661,-123.14539630041976,-2.3414126753231717
5148260000.0,-121.01906690128973,-123.96436082336322,-124.09536072005898,-2.363735164558247
5148250000.0,-120.1585354606897,-122.20937420200326,-124.40220531365007,-2.481104089109487
5148240000.0,-120.15753053827657,-123.08314099177451,-123.25420438469737,-2.3660410541452586
5148230000.0,-120.85894066429866,-123.86147038817641,-123.87702478082898,-2.357089872530095
5148220000.0,-119.59900681437571,-122.49032553160586,-122.73163971342349,-2.3700838644823774
5148210000.0,-119.82854064257927,-122.19072640911594,-123.60093316891803,-2.4370182139022183
5148200000.0,-120.14220138220492,-123.60433811788702,-122.74327496378625,-2.30670869767302
5148190000.0,-119.55172251924274,-122.42478731702795,-122.70373610841028,-2.3722493138669862
5148180000.0,-120.0615079634831,-122.82951241688737,-123.32842412943968,-2.3848983776505563
5148170000.0,-119.5547817254834,-121.58763957487352,-123.8284080500593,-2.4837760868514787
5148160000.0,-120.38229341695944,-123.16799262600978,-123.6294461330541,-2.3827454024890113
5148150000.0,-119.90371586332878,-122.89971346985219,-122.92836542679574,-2.3578438264247836
5148140000.0,-119.15671294618474,-120.73150242143457,-124.3259587628894,-2.557443183771063
5148130000.0,-118.6354875031497,-120.65462153526681,-122.9322021326715,-2.4858254496882184
5148120000.0,-118.16888026613626,-120.25576656837598,-122.35347551956757,-2.4757913087933527
5148110000.0,-118.8421474961868,-120.93977769307722,-123.00938364549967,-2.4742190282931897
5148100000.0,-118.36594507790154,-120.56545662814719,-122.37396545689455,-2.4595564705186126
5148090000.0,-117.89340513536894,-119.70623407216009,-122.56261054883328,-2.5177348101362176
5148080000.0,-118.01920408950808,-119.83477235436521,-122.68312650360316,-2.5172968364883
5148070000.0,-117.82839308302115,-119.54482398143396,-122.6899595802875,-2.533411645610896
5148060000.0,-117.68423969299926,-119.19969381640426,-122.99237041298925,-2.5678942488110934
5148050000.0,-117.67442886112985,-119.22736474062052,-122.89409203850707,-2.5612647020951393
5148040000.0,-117.29978561515858,-119.75032875843091,-120.95281471693536,-2.4251950860474714
5148030000.0,-117.39414265347145,-118.83306194900085,-122.89123470505956,-2.5817389890658946
5148020000.0,-117.35698808843053,-118.8549690611755,-122.70725135951642,-2.571018020825188
5148010000.0,-116.3409924797444,-118.1932179058197,-120.93514476915229,-2.5114745021480704
5148000000.0,-116.38198947865739,-117.82540228448636,-121.86766307607483,-2.5809143153372416
5147990000.0,-116.5767117634372,-117.98847686395786,-122.1437079951,-2.5867549422327705
5147980000.0,-116.33362388697422,-117.98613309287083,-121.33011481242895,-2.5441033178204013
5147970000.0,-116.33176214477203,-117.25268081542134,-123.51971818498785,-2.6891969032650844
5147960000.0,-116.01285119179312,-117.2712797033513,-122.00644005421714,-2.6161947260152405
5147950000.0,-116.69487314374706,-117.9342960222807,-122.74550443408452,-2.6199854701935905
5147940000.0,-116.22067257827308,-117.78024416760886,-121.4249379704291,-2.560100955564732
