PulseLength_s,Magnitude_linear,Magnitude_dBm,Fit_linear,Fit_dBm_display,Phase_rad
4.2016000000000006e-06,3.51134366192033e-06,-96.08023330781741,3.446801928289977e-06,-96.24137349862605,1.0190056731018609
4.22655e-06,3.514768771877073e-06,-96.07176486108548,3.46008751007331e-06,-96.20795838738127,1.0222550432589197
4.2515e-06,3.5669407497542058e-06,-95.94378213620351,3.475586629912643e-06,-96.16913768566071,1.0004812635748832
4.27645e-06,3.619352639527978e-06,-95.817082059339,3.4932092009315704e-06,-96.12520813541926,1.0280512820029286
4.3014e-06,3.501961443425293e-06,-96.10347283947857,3.5128531748962494e-06,-96.07650008005557,1.0353272942825504
4.3263500000000005e-06,3.6817013534225195e-06,-95.66872890003786,3.5344051414697152e-06,-96.0233734375125,1.0607842316299074
4.3513e-06,3.5544812818977895e-06,-95.97417541234742,3.5577409906144823e-06,-95.96621349241211,1.0186856963504591
4.37625e-06,3.4722053471716546e-06,-96.17759201219752,3.5827266342192675e-06,-95.90542659719831,1.0727376451225479
4.4012e-06,3.5093406881667272e-06,-96.08518940855524,3.6092187827020627e-06,-95.84143586717225,1.0661087983345843
4.42615e-06,3.7854612216575536e-06,-95.42732401093087,3.6370657720434628e-06,-95.77467694677922,1.0469097030868562
4.4511000000000005e-06,3.680842391228602e-06,-95.67075560469654,3.666108436432665e-06,-95.70559391513589,1.0628018930609553
4.47605e-06,3.692387428577243e-06,-95.64355477014202,3.6961810214652557e-06,-95.63463538818723,1.08046418768024
4.501000000000001e-06,3.808857318346771e-06,-95.37380596171012,3.7271121326183318e-06,-95.56225086365333,1.08944114186232
4.52595e-06,3.7531974335872647e-06,-95.50167182964051,3.758725713545289e-06,-95.48888734360888,1.0639739202488863
4.5509e-06,3.880260815605518e-06,-95.2124816811081,3.790842048581185e-06,-95.41498625859667,1.071109397849508
4.57585e-06,3.830187981423924e-06,-95.32529825959246,3.823278783730232e-06,-95.34098070698504,1.1039864935534258
4.6008e-06,3.764483791187964e-06,-95.47559141275217,3.855851960320554e-06,-95.26729301410784,1.0814624387962681
4.6257500000000006e-06,3.892165461270062e-06,-95.18587415455247,3.888377055458022e-06,-95.19433260775602,1.0981097568986669
4.6507e-06,3.913673813487131e-06,-95.13800751526412,3.920670023390971e-06,-95.12249419991095,1.1296328243919895
4.67565e-06,3.950205451045384e-06,-95.05730636407182,3.952548331910985e-06,-95.05215625923779,1.1341941760648329
4.7006e-06,3.980965003764757e-06,-94.98993284806434,3.983831987961299e-06,-94.9836797547522,1.0868071271202224
4.72555e-06,4.0249217408788906e-06,-94.89455123293399,4.014344546703507e-06,-94.91740714814144,1.1241120525266979
4.7505000000000005e-06,4.0415995513579326e-06,-94.85863443004185,4.043914098404483e-06,-94.85366161034764,1.0784254215684879
4.77545e-06,4.210592057835358e-06,-94.5028367044498,4.072374227648034e-06,-94.79274643706742,1.148494630574118
4.800400000000001e-06,4.091923359749665e-06,-94.75115022461792,4.099564939548774e-06,-94.73494463764172,1.1497331220886118
4.82535e-06,3.9134519534494615e-06,-95.13849991869807,4.125333547848094e-06,-94.68051867226637,1.1196249284794066
4.8503e-06,4.208815055036356e-06,-94.50650319787883,4.149535520002513e-06,-94.62971031340416,1.1420821327623265
4.8752500000000005e-06,4.207352188870782e-06,-94.50952269448082,4.172035274631717e-06,-94.58274060861001,1.1667203086298854
4.9002e-06,4.15499562221702e-06,-94.61828863257247,4.192706926975848e-06,-94.53980992357673,1.1098674346317772
4.925150000000001e-06,4.178297861757167e-06,-94.56971211024216,4.211434978317149e-06,-94.50109804598397,1.161775634704409
4.9501e-06,4.1518437320781104e-06,-94.62488006164533,4.228114945648261e-06,-94.46676433260991,1.1573579020181437
4.97505e-06,4.183319232459035e-06,-94.55927989922371,4.242653928216389e-06,-94.43694788408555,1.163305025862143
5e-06,4.16837627843855e-06,-94.5903617287326,4.254971107937028e-06,-94.41176773359021,1.1718907463190429
