PulseLength_s,Magnitude_AU,Fit_AU,Phase_rad,A_fit,f_fit_Hz,phi_fit_rad,C_fit,t_pi_s
1.1078e-06,4.774115363220971e-06,4.681817879304758e-06,0.8548444923941372,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.13275e-06,4.633791120004493e-06,4.6421209243189275e-06,0.8547006820304216,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.1577e-06,4.555004610797374e-06,4.598434380491113e-06,0.8673937406067532,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.18265e-06,4.629388472023235e-06,4.551077710550856e-06,0.823437317044139,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.2076e-06,4.533921901038605e-06,4.500397215434683e-06,0.8460281590450315,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.23255e-06,4.501192859841183e-06,4.446763501921837e-06,0.8557895163674282,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.2575e-06,4.392175719179683e-06,4.390568772530829e-06,0.8720494229997452,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.2824499999999999e-06,4.2816232560226085e-06,4.332223957494725e-06,0.8245916816921256,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.3074e-06,4.180257824472646e-06,4.272155709787942e-06,0.8485187739542475,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.33235e-06,4.258519537150053e-06,4.210803285178725e-06,0.8238608326061083,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.3573e-06,4.292952554868397e-06,4.148615330122309e-06,0.8549495501427687,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.38225e-06,4.041646370962738e-06,4.086046600983608e-06,0.8414103666124044,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.4072e-06,3.97757219290843e-06,4.023554638580533e-06,0.832167959852593,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.43215e-06,3.874179294222321e-06,3.961596422365666e-06,0.8455798278426523,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.4571e-06,3.834149213621357e-06,3.900625028712996e-06,0.8187073117039864,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.48205e-06,3.8038961900312564e-06,3.841086317746338e-06,0.8412361774067946,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.507e-06,3.870612652384503e-06,3.7834156729374056e-06,0.8112263903819642,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.53195e-06,3.8094023113565237e-06,3.7280348173155504e-06,0.7806161514019879,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.5569e-06,3.662270217648128e-06,3.675348729571033e-06,0.8092718433725521,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.58185e-06,3.569262715831024e-06,3.625742682603125e-06,0.8035503022538351,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.6068e-06,3.556351273478398e-06,3.579579426169018e-06,0.7967509687357691,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.63175e-06,3.6425163046315475e-06,3.5371965342357243e-06,0.7870843161799466,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.6567e-06,3.4609053269524477e-06,3.4989039364327487e-06,0.8309257589491402,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.68165e-06,3.40475932291667e-06,3.464981651657067e-06,0.7800927813936811,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.7066e-06,3.4190257687225755e-06,3.4356777404036787e-06,0.8134251004101745,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.73155e-06,3.405983824417762e-06,3.4112064907955385e-06,0.8072993207249508,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.7565e-06,3.2720842087887692e-06,3.3917468515777314e-06,0.7708251392823905,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.7814500000000001e-06,3.361202017325327e-06,3.377441123534795e-06,0.8182844301291118,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.8064e-06,3.4920273099826307e-06,3.3683939189003426e-06,0.7938223089230917,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.83135e-06,3.384467688134915e-06,3.3646713963684256e-06,0.7650082869258572,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.8563000000000001e-06,3.2564152458334025e-06,3.366300777300694e-06,0.7928629122626988,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.88125e-06,3.2033527034509046e-06,3.373270146667154e-06,0.7978143943109497,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.9062e-06,3.3750051801018058e-06,3.3855285401761513e-06,0.8168818160069088,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.93115e-06,3.3331857693731723e-06,3.4029863169564457e-06,0.7694617464590893,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.9561e-06,3.3453986852038105e-06,3.4255158150660914e-06,0.8128995972161772,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
1.98105e-06,3.422709497263899e-06,3.4529522850346414e-06,0.7875054919024086,7.319755687427429e-07,545655.1414803138,3.1293456507886925,4.096544455820157e-06,9.195318725099603e-07
