PulseLength_s,Magnitude_AU,Fit_AU,Phase_rad,A_fit,f_fit_Hz,C_fit,t_pi_s
2.72955e-06,3.924243960165589e-06,3.971588551772243e-06,2.2644182228907916,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.7545e-06,3.957005553475893e-06,3.9976454743197076e-06,2.2708096065324708,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.77945e-06,4.013799581780279e-06,4.020829093435844e-06,2.2508860242945388,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.8044e-06,3.9259646878210465e-06,4.040991382522032e-06,2.2782943967469604,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.8293500000000003e-06,3.998202136863716e-06,4.058003606066404e-06,2.2578511965898778,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.8543e-06,4.063400458395677e-06,4.071757141615595e-06,2.247038749682895,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.87925e-06,4.1810996534514965e-06,4.082164173325316e-06,2.2880838150761575,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.9042e-06,4.1024367968191215e-06,4.089158252661451e-06,2.2830250392206164,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.92915e-06,3.98854697953388e-06,4.092694722671633e-06,2.315026069890067,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.9541000000000002e-06,4.145158091131118e-06,4.092751003118317e-06,2.3009728520732753,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
2.9790500000000003e-06,3.945355730435827e-06,4.089326734652817e-06,2.2435169633303667,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.004e-06,4.00778296382425e-06,4.082443781109732e-06,2.273354994776174,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.02895e-06,4.038755432123207e-06,4.072146089907119e-06,2.296562373779342,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.0539e-06,3.941203229540658e-06,4.058499411443775e-06,2.2805657694518,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.07885e-06,4.090485959097993e-06,4.041590879285226e-06,2.295375801402319,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.1038000000000003e-06,4.009824635272058e-06,4.021528453818958e-06,2.265753424620222,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.1287500000000003e-06,3.9266631530279086e-06,3.998440232931114e-06,2.2620357569192726,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.1537e-06,3.941210941764238e-06,3.972473634105957e-06,2.263355442126777,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.17865e-06,3.901228982935844e-06,3.943794453170386e-06,2.268310166559761,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.2036e-06,3.941702629118125e-06,3.912585805693369e-06,2.2406134577976378,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
3.22855e-06,3.833245348084866e-06,3.879046957799423e-06,2.2654542112453484,-5.455242399204491e-07,509852.3819124588,3.5476346453391485e-06,9.791733067729083e-07
